cid,drug_name,smiles,molecular_formula,molecular_weight
5084,Ro 31-8830,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C5CC(CCN5C6=CC=CC=C64)CN(C)C,C28H28N4O2,452.5
5085,,C1=CC=C(C(=C1)C(=O)C2=CC(=O)C(=O)C(=C2)N(O)O)F,C13H8FNO5,277.20
5086,Ro 41-1049,C1=CC(=CC(=C1)F)C2=C(N=CS2)C(=O)NCCN,C12H12FN3OS,265.31
5087,4-((3-Butoxy-4-methoxyphenyl)methyl)-2-imidazolidinone,CCCCOC1=C(C=CC(=C1)CC2CNC(=O)N2)OC,C15H22N2O3,278.35
5088,Bn(4-Ph)-DL-Cys-Gly-DL-Val-OMe,CC(C)C(C(=O)OC)NC(=O)CNC(=O)C(CS)NCC1=CC=C(C=C1)C2=CC=CC=C2,C24H31N3O4S,457.6
5089,Ferrugin,COC1=CC=C(C=C1)C23C(CC(C2(C4=C(O3)C=C(C=C4OC)OC)O)O)C5=CC=CC=C5,C26H26O6,434.5
5090,Rofecoxib,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3,C17H14O4S,314.4
5091,"[6-[6-[[4,10-Dihydroxy-5-methoxy-9,16-dimethyl-2-oxo-7-(2-oxoethyl)-1-oxacyclohexadeca-11,13-dien-6-yl]oxy]-4-(dimethylamino)-5-hydroxy-2-methyloxan-3-yl]oxy-2,4-dimethyl-4-propanoyloxyoxan-3-yl] butanoate",CCCC(=O)OC1C(OC(CC1(C)OC(=O)CC)OC2C(OC(C(C2N(C)C)O)OC3C(CC(C(C=CC=CCC(OC(=O)CC(C3OC)O)C)O)C)CC=O)C)C,C42H69NO15,828.0
5092,Rolipram,COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3,C16H21NO3,275.34
5093,"2-[[4-[2-[2-[3-Acetamido-2,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-5-amino-5-oxopentanoyl]amino]-6-(octadecanoylamino)hexanoic acid",CCCCCCCCCCCCCCCCCC(=O)NCCCCC(C(=O)O)NC(=O)CCC(C(=O)N)NC(=O)C(C)NC(=O)C(C)OC1C(C(OC(C1O)CO)O)NC(=O)C,C43H78N6O13,887.1
5094,Ronidazole,CN1C(=CN=C1COC(=O)N)[N+](=O)[O-],C6H8N4O4,200.15
5095,Ropinirole,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,C16H24N2O,260.37
5096,"2-[9-[4-(Dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-3-ethyl-7-hydroxy-2,8,12,16-tetramethyl-5,13-dioxo-4,17-dioxabicyclo[14.1.0]heptadec-14-en-10-yl]acetaldehyde",CCC1C(C2C(O2)(C=CC(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3C(C(CC(O3)C)N(C)C)O)CC=O)C)C)C,C31H51NO9,581.7
5097,2-(1-Ethyl-2-hydroxyethylamino)-6-benzylamino-9-isopropylpurine,CCC(CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=CC=C3,C19H26N6O,354.4
5098,G1 262570; GI 262570; GI 262570X,CC1=C(N=C(O1)C2=CC=CC=C2)CCOC3=CC=C(C=C3)CC(C(=O)O)NC4=CC=CC=C4C(=O)C5=CC=CC=C5,C34H30N2O5,546.6
5099,"alpha-((3-(3,4-Dihydroxyphenyl)-1-oxo-2-propen-1-yl)oxy)-3,4-dihydroxybenzenepropanoic acid",C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C18H16O8,360.3
5100,Aurin,C1=CC(=O)C=CC1=C(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,C19H14O3,290.3
5101,"13-Hydroxy-16,17-dimethoxy-6-prop-1-en-2-yl-2,7,20-trioxapentacyclo[11.8.0.03,11.04,8.014,19]henicosa-3(11),9,14,16,18-pentaen-12-one",CC(=C)C1CC2C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4(C3=O)O)OC)OC,C23H24O7,412.4
5102,5'beta-Rotenone,CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,C23H22O6,394.4
5103,"1-[6-[(3-Acetyl-2,4,6-trihydroxy-5-methylphenyl)methyl]-5,7-dihydroxy-2,2-dimethyl-2H-1-benzopyran-8-yl]-3-phenyl-2-propen-1-one",CC1=C(C(=C(C(=C1O)C(=O)C)O)CC2=C(C(=C3C(=C2O)C=CC(O3)(C)C)C(=O)C=CC4=CC=CC=C4)O)O,C30H28O8,516.5
5104,Roxarsone,C1=CC(=C(C=C1[As](=O)(O)O)[N+](=O)[O-])O,C6H6AsNO6,263.04
5105,Roxatidine acetate,CC(=O)OCC(=O)NCCCOC1=CC=CC(=C1)CN2CCCCC2,C19H28N2O4,348.4
5106,"6-((4-(Dimethylamino)-3-hydroxy-6-methyloxan-2-yl)oxy)-14-ethyl-7,12,13-trihydroxy-4-((5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl)oxy)-10-(((2-methoxyethoxy)methoxy)imino)-3,5,7,9,11,13-hexamethyl-1-oxacyclotetradecan-2-one",CCC1C(C(C(C(=NOCOCCOC)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,C41H76N2O15,837.0
5107,Methyl 3-[[4-[3-(aminomethyl)phenyl]benzoyl]amino]-2-[(3-carbamimidoylphenyl)methyl]butanoate,CC(C(CC1=CC(=CC=C1)C(=N)N)C(=O)OC)NC(=O)C2=CC=C(C=C2)C3=CC=CC(=C3)CN,C27H30N4O3,458.6
5108,"4-Hydroxy-3-[[2-oxo-3-(thieno[3,2-b]pyridin-2-ylsulfonylamino)pyrrolidin-1-yl]methyl]benzenecarboximidamide",C1CN(C(=O)C1NS(=O)(=O)C2=CC3=C(S2)C=CC=N3)CC4=C(C=CC(=C4)C(=N)N)O,C19H19N5O4S2,445.5
5109,"N-[2-oxo-1-(1H-pyrrolo[2,3-c]pyridin-2-ylmethyl)pyrrolidin-3-yl]thieno[3,2-b]pyridine-2-sulfonamide",C1CN(C(=O)C1NS(=O)(=O)C2=CC3=C(S2)C=CC=N3)CC4=CC5=C(N4)C=NC=C5,C19H17N5O3S2,427.5
5110,"N-[1-[(1-aminoisoquinolin-7-yl)methyl]-2-oxopyrrolidin-3-yl]thieno[3,2-b]pyridine-2-sulfonamide",C1CN(C(=O)C1NS(=O)(=O)C2=CC3=C(S2)C=CC=N3)CC4=CC5=C(C=C4)C=CN=C5N,C21H19N5O3S2,453.5
5111,2-(4-(4-(4-Chloro-Phenoxy)-Benzenesulfonyl)-Tetrahydro-Pyran-4-Yl)-N-Hydroxy-Acetamide,C1COCCC1(CC(=O)NO)S(=O)(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)Cl,C19H20ClNO6S,425.9
5112,,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=O)C=C(C4=C3O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,C27H30O16,610.5
5113,[Bis(acetyloxymethoxy)phosphoryl-[5-(4-bromophenoxy)-2-nitrophenyl]methoxy]methyl acetate,CC(=O)OCOC(C1=C(C=CC(=C1)OC2=CC=C(C=C2)Br)[N+](=O)[O-])P(=O)(OCOC(=O)C)OCOC(=O)C,C22H23BrNO13P,620.3
5114,"4,6,7,8a,8b,9a-Hexahydroxy-3,6a,9-trimethyl-7-(propan-2-yl)dodecahydro-6,9-methanobenzo(1,2)pentaleno(1,6-bc)furan-8-yl 1H-pyrrole-2-carboxylate",CC1CCC2(C3(CC4(C5(C(C(C3(C5(C2(C1O)O4)O)O)OC(=O)C6=CC=CN6)(C(C)C)O)C)O)C)O,C25H35NO9,493.5
5115,alpha-Amino-4-carboxybenzeneacetic acid,C1=CC(=CC=C1C(C(=O)O)N)C(=O)O,C9H9NO4,195.17
5116,"3,5-dichloro-N-[(1-ethylpyrrolidin-2-yl)methyl]-2,6-dihydroxybenzamide",CCN1CCCC1CNC(=O)C2=C(C(=CC(=C2O)Cl)Cl)O,C14H18Cl2N2O3,333.2
5117,"3,4,4a,10b-tetrahydro-4-propyl-2H,5H-(1)benzopyrano(4,3-b)-1,4-oxazin-9-ol, (+)-",CCCN1CCOC2C1COC3=C2C=C(C=C3)O,C14H19NO3,249.30
5118,"3,5-dichloro-N-[(1-ethylpyrrolidin-2-yl)methyl]-2-hydroxy-6-methoxybenzamide",CCN1CCCC1CNC(=O)C2=C(C(=CC(=C2OC)Cl)Cl)O,C15H20Cl2N2O3,347.2
5119,3-(3-cyanophenyl)-N-n-propylpiperidine,CCCN1CCCC(C1)C2=CC=CC(=C2)C#N,C15H20N2,228.33
5120,N-[(1-ethylpyrrolidin-2-yl)methyl]-2-hydroxy-3-iodo-6-methoxybenzamide,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2O)I)OC,C15H21IN2O3,404.24
5121,4-Bromotetramisole,C1CSC2=NC(CN21)C3=CC=C(C=C3)Br,C11H11BrN2S,283.19
5122,5-Fluoro-8-hydroxy-2-(dipropylamino)tetralin,CCCN(CCC)C1CCC2=C(C=CC(=C2C1)O)F,C16H24FNO,265.37
5123,DL-Willardiine,C1=CN(C(=O)NC1=O)CC(C(=O)O)N,C7H9N3O4,199.16
5124,MeOCO-DL-Pen(NO)(NO)-DL-Pen(NO)(NO)-OH,CC(C)(C(C(=O)NC(C(=O)O)C(C)(C)SN=O)NC(=O)OC)SN=O,C12H20N4O7S2,396.4
5125,Tribufos,CCCCSP(=O)(SCCCC)SCCCC,C12H27OPS3,314.5
5126,2-Aminopropanol,CC(CO)N,C3H9NO,75.11
5127,2-Benzyl-3-(S-methanesulfonodiimidoyl)propanoic acid,CS(=N)(=N)CC(CC1=CC=CC=C1)C(=O)O,C11H16N2O2S,240.32
5128,2-Iodotoluene,CC1=CC=CC=C1I,C7H7I,218.03
5129,"2-(Hydroxymethyl)-5-[6-[(4-nitrophenyl)methylsulfanyl]purin-9-yl]oxolane-3,4-diol",C1=CC(=CC=C1CSC2=NC=NC3=C2N=CN3C4C(C(C(O4)CO)O)O)[N+](=O)[O-],C17H17N5O6S,419.4
5130,,C1=CC=C(C=C1)CN=C(S)SCC(C(=O)O)N,C11H14N2O2S2,270.4
5131,2-Amino-5-[[3-[2-(4-azidophenyl)-2-oxoethyl]sulfanyl-1-(carboxymethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,C1=CC(=CC=C1C(=O)CSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)N=[N+]=[N-],C18H22N6O7S,466.5
5132,,C1=CC(=CC=C1C(=O)CSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)N[N+]#N,C18H23N6O7S+,467.5
5133,S-(4-nitrobenzyl)-glutathione,C1=CC(=CC=C1CSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)[N+](=O)[O-],C17H22N4O8S,442.4
5134,,CS(CCC(C(=O)O)N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,C15H24N6O5S,400.5
5135,"2-Amino-4-[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylselanyl]butanoic acid",C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)C[Se]CCC(C(=O)O)N)O)O)N,C14H20N6O5Se,431.32
5136,"2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl-methylsulfonio]butanoate",C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,C15H22N6O5S,398.4
5137,2-Amino-5-[[3-benzylsulfanyl-1-(carboxymethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,C1=CC=C(C=C1)CSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N,C17H23N3O6S,397.4
5138,Benzyl Carbamimidothioate,C1=CC=C(C=C1)CSC(=N)N,C8H10N2S,166.25
5139,S-Ethylisothiourea,CCSC(=N)N,C3H8N2S,104.18
5140,[1-Carboxy-4-[[1-(carboxymethylamino)-3-hexylsulfanyl-1-oxopropan-2-yl]amino]-4-oxobutyl]azanium,CCCCCCSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)[NH3+],C16H30N3O6S+,392.5
5141,2-Amino-5-((1-((carboxymethyl)amino)-3-(hexylthio)-1-oxopropan-2-yl)amino)-5-oxopentanoic acid,CCCCCCSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N,C16H29N3O6S,391.5
5142,2-Methyl-2-thiopseudourea,CSC(=N)N,C2H6N2S,90.15
5143,Saccharin,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,C7H5NO3S,183.19
5144,Safrole,C=CCC1=CC2=C(C=C1)OCO2,C10H10O2,162.18
5145,"beta-D-Glucopyranoside, 2-(hydroxymethyl)phenyl",C1=CC=C(C(=C1)CO)OC2C(C(C(C(O2)CO)O)O)O,C13H18O7,286.28
5146,Salicyl Alcohol,C1=CC=C(C(=C1)CO)O,C7H8O2,124.14
5147,Salicylamide,C1=CC=C(C(=C1)C(=O)N)O,C7H7NO2,137.14
5148,,C1=CC=C(C(=C1)C(=O)[O-])O,C7H5O3-,137.11
5149,"N-[3-(6,16-dihydroxy-7-methyl-2-oxo-3-oxabicyclo[10.4.0]hexadeca-1(12),9,13,15-tetraen-4-yl)prop-1-enyl]hepta-2,4-dienamide",CCC=CC=CC(=O)NC=CCC1CC(C(CC=CCC2=C(C(=CC=C2)O)C(=O)O1)C)O,C26H33NO5,439.5
5150,"2-[6-[6-[3-(5-Ethyl-5-hydroxy-6-methyloxan-2-yl)-15-hydroxy-3,10,12-trimethyl-4,6,8-trioxadispiro[4.1.57.35]pentadec-13-en-9-yl]-3-hydroxy-4-methyl-5-oxooctan-2-yl]-5-methyloxan-2-yl]butanoate",CCC(C1CCC(C(O1)C(C)C(C(C)C(=O)C(CC)C2C(CC(C3(O2)C=CC(C4(O3)CCC(O4)(C)C5CCC(C(O5)C)(CC)O)O)C)C)O)C)C(=O)[O-],C42H69O11-,750.0
5151,"2-(6-(6-(2-(5-Ethyl-5-hydroxy-6-methyloxan-2-yl)-15-hydroxy-2,10,12-trimethyl-1,6,8-trioxadispiro(4.1.5~7~.3~5~)pentadec-13-en-9-yl)-3-hydroxy-4-methyl-5-oxooctan-2-yl)-5-methyloxan-2-yl)butanoic acid",CCC(C1CCC(C(O1)C(C)C(C(C)C(=O)C(CC)C2C(CC(C3(O2)C=CC(C4(O3)CCC(O4)(C)C5CCC(C(O5)C)(CC)O)O)C)C)O)C)C(=O)O,C42H70O11,751.0
5152,Salmeterol,C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O,C25H37NO4,415.6
5153,Antibiotic B 14437 (base),C1=C(C2=C(N=CN=C2N1C3C(C(C(O3)CO)O)O)N)C(=O)N,C12H15N5O5,309.28
5154,Sanguinarine,C[N+]1=C2C(=C3C=CC4=C(C3=C1)OCO4)C=CC5=CC6=C(C=C52)OCO6,C20H14NO4+,332.3
5155,"1-[5-(Hydroxymethyl)-2,5-dihydrofuran-2-yl]-5-methylpyrimidine-2,4-dione",CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO,C10H12N2O4,224.21
5156,"3,5a,9-Trimethyl-3a,5,5a,9b-tetrahydronaphtho[1,2-b]furan-2,8(3H,4H)-dione",CC1C2CCC3(C=CC(=O)C(=C3C2OC1=O)C)C,C15H18O3,246.30
5157,"[13-Acetyloxy-1,6-dihydroxy-8-(hydroxymethyl)-4,12,12,15-tetramethyl-5-oxo-14-tetracyclo[8.5.0.02,6.011,13]pentadeca-3,8-dienyl] 2-(methylamino)benzoate",CC1C(C2(C(C2(C)C)C3C1(C4C=C(C(=O)C4(CC(=C3)CO)O)C)O)OC(=O)C)OC(=O)C5=CC=CC=C5NC,C30H37NO8,539.6
5158,"N-[2-[5-[3-acetamido-6-[4,5-dihydroxy-6-(hydroxymethyl)-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-4,5-dihydroxyoxan-2-yl]oxy-4-hydroxy-6-[[4,4,10,13,14-pentamethyl-17-(6-methyl-4-oxohept-5-en-2-yl)-2,3,5,6,7,8,12,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]oxan-3-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",CC(CC(=O)C=C(C)C)C1CCC2(C1(CC=C3C2CCC4C3(CCC(C4(C)C)OC5C(C(C(CO5)OC6C(C(C(C(O6)CO)O)O)NC(=O)C)O)OC7C(C(C(C(O7)OC8C(C(C(C(O8)CO)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)NC(=O)C)C)C)C,C62H100N2O26,1289.5
5159,"N-[2-[5-[3-acetamido-6-[4,5-dihydroxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-4,5-dihydroxyoxan-2-yl]oxy-4-hydroxy-6-[[4,4,10,13,14-pentamethyl-17-(6-methyl-4-oxohept-5-en-2-yl)-2,3,5,6,7,8,12,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]oxan-3-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",CC(CC(=O)C=C(C)C)C1CCC2(C1(CC=C3C2CCC4C3(CCC(C4(C)C)OC5C(C(C(CO5)OC6C(C(C(C(O6)CO)O)O)NC(=O)C)O)OC7C(C(C(C(O7)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)NC(=O)C)C)C)C,C61H98N2O25,1259.4
5160,Sarpogrelate,CN(C)CC(COC1=CC=CC=C1CCC2=CC(=CC=C2)OC)OC(=O)CCC(=O)O,C24H31NO6,429.5
5161,Salsalate,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,C14H10O5,258.23
5162,SB 202474,CCC1=C(N=C(N1)C2=CC=C(C=C2)OC)C3=CC=NC=C3,C17H17N3O,279.34
5163,"3,5-Dihydro-5-methyl-N-3-pyridinylbenzo(1,2-b:4,5-b')dipyrrole-1(2H)-carboxamide",CN1C=CC2=CC3=C(CCN3C(=O)NC4=CN=CC=C4)C=C21,C17H16N4O,292.33
5164,SB-220025,C1CNCCC1N2C=NC(=C2C3=NC(=NC=C3)N)C4=CC=C(C=C4)F,C18H19FN6,338.4
5165,,C1=CC=C(C(=C1)NC(=O)N=C2C=CC(=CC2=O)N(O)O)Br,C13H10BrN3O4,352.14
5166,SB 239063,COC1=NC=CC(=N1)C2=C(N=CN2C3CCC(CC3)O)C4=CC=C(C=C4)F,C20H21FN4O2,368.4
5167,"5-(Diaminomethylideneamino)-2-[[2-(2,2-diphenylethoxy)acetyl]amino]pentanoic acid",C1=CC=C(C=C1)C(COCC(=O)NC(CCCN=C(N)N)C(=O)O)C2=CC=CC=C2,C22H28N4O4,412.5
5168,,CC1CC2=C(C(O1)OC)C(=C3C(=CC(=O)C(=C3C(=O)O)O)O2)O,C15H14O8,322.27
5169,Sb-202190,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)O,C20H14FN3O,331.3
5170,"Methyl 2-[[2-[2-[5-[1-(2-aminopropanoylamino)ethyl]-3-benzyl-2,3,6,7-tetrahydroazepin-1-yl]propanoylamino]-3-methylbutanoyl]amino]-3-methylbutanoate",CC(C)C(C(=O)NC(C(C)C)C(=O)OC)NC(=O)C(C)N1CCC(=CC(C1)CC2=CC=CC=C2)C(C)NC(=O)C(C)N,C32H51N5O5,585.8
5171,SB-216995,C1CC1CN2C=NC(=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,C18H16FN3,293.3
5172,4-(1-(cyclopropylmethyl)-4-(4-fluorophenyl)-1H-imidazol-5-yl)pyrimidin-2-amine,C1CC1CN2C=NC(=C2C3=NC(=NC=C3)N)C4=CC=C(C=C4)F,C17H16FN5,309.34
5173,Suberohydroxamic acid,C(CCCC(=O)NO)CCC(=O)NO,C8H16N2O4,204.22
5174,SC-68376,CC1=NC(=C(O1)C2=CC=NC=C2)C3=CC=CC=C3,C15H12N2O,236.27
5175,N-(n-Heptyl)-5-chloro-1-naphthalenesulfonamide,CCCCCCCNS(=O)(=O)C1=CC=CC2=C1C=CC=C2Cl,C17H22ClNO2S,339.9
5176,N-[4-[[1-(hydroxyamino)-3-methyl-1-oxobutan-2-yl]-(2-morpholin-4-ylethyl)sulfamoyl]phenyl]-4-pentylbenzamide,CCCCCC1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)N(CCN3CCOCC3)C(C(C)C)C(=O)NO,C29H42N4O6S,574.7
5177,"N-[[2,3-bis(2-amino-1H-imidazol-3-ium-5-yl)-4-[[(4-bromo-1H-pyrrole-2-carbonyl)amino]methyl]cyclobutyl]methyl]-4-bromo-1H-pyrrole-2-carboxamide",C1=C(NC=C1Br)C(=O)NCC2C(C(C2C3=C[NH+]=C(N3)N)C4=C[NH+]=C(N4)N)CNC(=O)C5=CC(=CN5)Br,C22H26Br2N10O2+2,622.3
5178,"4-bromo-N-[[2-[[(4-bromo-1H-pyrrole-2-carbonyl)amino]methyl]-3,4-bis(2-imino-1,3-dihydroimidazol-4-yl)cyclobutyl]methyl]-1H-pyrrole-2-carboxamide",C1=C(NC=C1Br)C(=O)NCC2C(C(C2C3=CN=C(N3)N)C4=CN=C(N4)N)CNC(=O)C5=CC(=CN5)Br,C22H24Br2N10O2,620.3
5179,"N-[[4-[4-(1,3-benzothiazol-2-ylsulfanylmethyl)-6-[4-(hydroxymethyl)phenyl]-1,3-dioxan-2-yl]phenyl]methyl]-N'-hydroxypentanediamide",C1C(OC(OC1C2=CC=C(C=C2)CO)C3=CC=C(C=C3)CNC(=O)CCCC(=O)NO)CSC4=NC5=CC=CC=C5S4,C31H33N3O6S2,607.7
5180,"N-[3-[4-(1,3-benzothiazol-2-ylsulfanylmethyl)-6-[4-(hydroxymethyl)phenyl]-1,3-dioxan-2-yl]phenyl]-N'-hydroxyoctanediamide",C1C(OC(OC1C2=CC=C(C=C2)CO)C3=CC(=CC=C3)NC(=O)CCCCCCC(=O)NO)CSC4=NC5=CC=CC=C5S4,C33H37N3O6S2,635.8
5181,"7-[2-[4-(3,7-dimethylocta-2,6-dienyl)-3,5-dihydroxyphenyl]ethenyl]-1,1,4a-trimethyl-3,4,9,9a-tetrahydro-2H-xanthene-2,3,5-triol",CC(=CCCC(=CCC1=C(C=C(C=C1O)C=CC2=CC3=C(C(=C2)O)OC4(CC(C(C(C4C3)(C)C)O)O)C)O)C)C,C34H44O6,548.7
5182,"7-[2-[4-(3,7-dimethylocta-2,6-dienyl)-3,5-dihydroxyphenyl]ethenyl]-5-methoxy-1,1,4a-trimethyl-3,4,9,9a-tetrahydro-2H-xanthene-2,3-diol",CC(=CCCC(=CCC1=C(C=C(C=C1O)C=CC2=CC3=C(C(=C2)OC)OC4(CC(C(C(C4C3)(C)C)O)O)C)O)C)C,C35H46O6,562.7
5183,"7-[2-[3,5-dihydroxy-4-(7-hydroxy-3,7-dimethyloct-2-enyl)phenyl]ethenyl]-5-methoxy-1,1,4a-trimethyl-3,4,9,9a-tetrahydro-2H-xanthene-2,3-diol",CC(=CCC1=C(C=C(C=C1O)C=CC2=CC3=C(C(=C2)OC)OC4(CC(C(C(C4C3)(C)C)O)O)C)O)CCCC(C)(C)O,C35H48O7,580.7
5184,"9-Methyl-3-oxa-9-azatricyclo(3.3.1.02,4)nonan-7-yl tropate",CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,C17H21NO4,303.35
5185,,COC1=CC2=CC=C(OC2=CC1=O)O,C10H8O4,192.17
5186,Scriptaid,C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO,C18H18N2O4,326.3
5187,"N-(1H-benzimidazol-2-yl)-3-[[3-[[3-(1H-benzimidazol-2-ylcarbamoyl)phenyl]methyl]-4,7-dibenzyl-5,6-dihydroxy-2-oxo-1,3-diazepan-1-yl]methyl]benzamide",C1=CC=C(C=C1)CC2C(C(C(N(C(=O)N2CC3=CC(=CC=C3)C(=O)NC4=NC5=CC=CC=C5N4)CC6=CC(=CC=C6)C(=O)NC7=NC8=CC=CC=C8N7)CC9=CC=CC=C9)O)O,C49H44N8O5,824.9
5188,Sdz 35-682,C1CCC(CC1)C2=CC=C(C=C2)OCC(CN3CCN(CC3)C4=CC=CC=N4)O,C24H33N3O2,395.5
5189,"2-[4-(2H-1,4-Benzothiazine-3-YL)-piperazine-1-LY]-1,3-thiazole-4-carboxylic acid ethylester",CCOC(=O)C1=CSC(=N1)N2CCN(CC2)C3=NC4=CC=CC=C4SC3,C18H20N4O2S2,388.5
5190,4-(3-(4-(Diphenylmethyl)-1-piperazinyl)-2-hydroxypropoxy)-1H-indole-2-carbonitrile,C1CN(CCN1CC(COC2=CC=CC3=C2C=C(N3)C#N)O)C(C4=CC=CC=C4)C5=CC=CC=C5,C29H30N4O2,466.6
5191,2-Methoxy-4-amino-5-chlorobenzoic acid 2-(diethylamino)ethyl ester,CCN(CC)CCOC(=O)C1=CC(=C(C=C1OC)N)Cl,C14H21ClN2O3,300.78
5192,Sebacic Acid,C(CCCCC(=O)O)CCCC(=O)O,C10H18O4,202.25
5193,Secobarbital,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C,C12H18N2O3,238.28
5194,"6'-Cyclohexyl-24-hydroxy-12-(5-hydroxy-4-methoxy-6-methyloxan-2-yl)oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",CC1CCC2(CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)O)OC)C)OC1C7CCCCC7,C43H64O10,741.0
5195,(+-)-Selegiline,CC(CC1=CC=CC=C1)N(C)CC#C,C13H17N,187.28
5196,Semicarbazide,C(=O)(N)NN,CH5N3O,75.07
5197,,CC(=CCCC1(C=CC2=C(O1)C=CC3=C2C(=O)C(=O)C(=C4C(=C5C(=O)C6=C(C7=C(C=C6)OC(C=C7)(C)CCC=C(C)C)C(=O)C5=O)C(=C8C=CC=CC8=C4O)O)C3=O)C)C,C50H42O10,802.9
5198,Semustine,CC1CCC(CC1)NC(=O)N(CCCl)N=O,C10H18ClN3O2,247.72
5199,Sennosides,C1=CC2=C(C(=C1)OC3C(C(C(C(O3)CO)O)O)O)C(=O)C4=C(C2C5C6=C(C(=CC=C6)OC7C(C(C(C(O7)CO)O)O)O)C(=O)C8=C5C=C(C=C8O)C(=O)O)C=C(C=C4O)C(=O)O,C42H38O20,862.7
5200,,CC(C(=O)C1=NC2=C(NC1)NC(=NC2=O)N)O,C9H11N5O3,237.22
5201,Sergiolide,CC1C2CC3C45COC(C4C(C(=O)O3)OC(=O)C)(C(C(C5C2(C=C6C1=CC(=O)O6)C)O)O)C(=O)OC,C25H28O11,504.5
5202,Serotonin,C1=CC2=C(C=C1O)C(=CN2)CCN,C10H12N2O,176.21
5203,"4-(3,4-Dichlorophenyl)-1,2,3,4-tetrahydro-N-methyl-1-naphthalenamine",CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,C17H17Cl2N,306.2
