cid,drug_name,smiles,molecular_formula,molecular_weight
100,"4-Hydroxy-3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzoic acid",CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C=CC(=C1)C(=O)O)O)C)C)C)C)C)C)C)C,C47H70O3,683.1
101,3-Hydroxybenzaldehyde,C1=CC(=CC(=C1)O)C=O,C7H6O2,122.12
102,3-Hydroxybenzyl alcohol,C1=CC(=CC(=C1)O)CO,C7H8O2,124.14
103,3-oxo-cholyl-CoA; (Acyl-CoA); [M+H]+,CC(CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C4CCC5C4(C(CC6C5C(CC7C6(CCC(=O)C7)C)O)O)C,C45H72N7O20P3S,1156.1
104,3-Oxoadipate enol-lactone,C1C=C(OC1=O)CC(=O)O,C6H6O4,142.11
105,Phosphohydroxypyruvic acid,C(C(=O)C(=O)O)OP(=O)(O)O,C3H5O7P,184.04
106,dl-O-Phosphoserine,C(C(C(=O)O)N)OP(=O)(O)O,C3H8NO6P,185.07
107,Benzenepropanoic acid,C1=CC=C(C=C1)CCC(=O)O,C9H10O2,150.17
108,3-Pyridineacetic acid,C1=CC(=CN=C1)CC(=O)O,C7H7NO2,137.14
109,"Cysteinesulfinic acid, (A+-)-",C(C(C(=O)O)N)S(=O)O,C3H7NO4S,153.16
110,2-Oxo-3-sulfinopropanoic acid,C(C(=O)C(=O)O)S(=O)O,C3H4O5S,152.13
111,N-carbamoyl-beta-alanine,C(CNC(=O)N)C(=O)O,C4H8N2O3,132.12
112,3-Hydroxy-2-oxo-4-phosphonooxybutanoate,C(C(C(=O)C(=O)[O-])O)OP(=O)(O)O,C4H6O8P-,213.06
113,3-Hydroxy-2-oxo-4-phosphonooxybutanoic acid,C(C(C(=O)C(=O)O)O)OP(=O)(O)O,C4H7O8P,214.07
114,3-Pyridinebutanoic acid,C1=CC(=CN=C1)CCCC(=O)O,C9H11NO2,165.19
115,"(5-Amino-3,4-dihydroxyoxan-2-yl) dihydrogen phosphate",C1C(C(C(C(O1)OP(=O)(O)O)O)O)N,C5H12NO7P,229.13
116,"4-Amino-3-(1-carboxyethenoxy)cyclohexa-1,5-diene-1-carboxylic acid",C=C(C(=O)O)OC1C=C(C=CC1N)C(=O)O,C10H11NO5,225.20
117,5-amino-1H-imidazole-4-carboxylic acid,C1=NC(=C(N1)C(=O)O)N,C4H5N3O2,127.10
118,4-Aminobutanal,C(CC=O)CN,C4H9NO,87.12
119,Gamma-Aminobutyric Acid,C(CC(=O)O)CN,C4H9NO2,103.12
120,2-(5-Oxo-2(5H)-furanylidene)acetic acid,C1=CC(=O)OC1=CC(=O)O,C6H4O4,140.09
121,"((5-(4-Amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl)methoxy-hydroxyphosphoryl) (2,3,4-trihydroxy-3-methylbutyl) hydrogen phosphate",CC(CO)(C(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)O,C14H25N3O14P2,521.31
122,"4,6-Dioxooct-2-enedioic acid",C(C(=O)CC(=O)O)C(=O)C=CC(=O)O,C8H8O6,200.14
123,Tiformin,C(CC(=O)N)CN=C(N)N,C5H12N4O,144.18
124,4-Hydroxy-2-oxopentanoic acid,CC(CC(=O)C(=O)O)O,C5H8O4,132.11
125,4-Hydroxybenzyl Alcohol,C1=CC(=CC=C1CO)O,C7H8O2,124.14
126,4-Hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O,C7H6O2,122.12
127,Hydroxyphenylacetic acid,C1=CC(=CC=C1CC(=O)O)O,C8H8O3,152.15
128,4-Imidazolone-5-propanoate,C1=NC(C(=O)N1)CCC(=O)O,C6H8N2O3,156.14
129,Isocaproaldehyde,CC(C)CCC=O,C6H12O,100.16
130,"2-Hydroxy-4-oxobutane-1,2,4-tricarboxylic acid",C(C(=O)C(=O)O)C(CC(=O)O)(C(=O)O)O,C7H8O8,220.13
131,"3-((2-Hydroxy-3,3-dimethyl-4-phosphonooxybutanoyl)amino)propanoic acid",CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)O)O,C9H18NO8P,299.21
132,"2-[3-[(2-Hydroxy-3,3-dimethyl-4-phosphonooxybutanoyl)amino]propanoylamino]-3-sulfanylpropanoic acid",CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NC(CS)C(=O)O)O,C12H23N2O9PS,402.36
133,gamma-Trimethylaminobutyraldehyde,C[N+](C)(C)CCCC=O,C7H16NO+,130.21
134,4-Trimethylammoniobutanoate,C[N+](C)(C)CCCC(=O)O,C7H16NO2+,146.21
135,4-Hydroxybenzoic Acid,C1=CC(=CC=C1C(=O)O)O,C7H6O3,138.12
136,,C1C2CN(C=[N+]2C3=C(N1)NC(=NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O,C20H22N7O6+,456.4
137,5-Aminolevulinic Acid,C(CC(=O)O)C(=O)CN,C5H9NO3,131.13
138,5-Aminovaleric acid,C(CCN)CC(=O)O,C5H11NO2,117.15
139,"10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,7,12-triol",CC(C)CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,C27H48O3,420.7
140,27-Deoxy-5alpha-Cyprinol,CC(CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C)CO,C27H48O4,436.7
141,"(3,4-Dihydroxy-5-oxooxan-2-yl) [[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] hydrogen phosphate",C1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)O)O,C14H20N2O16P2,534.26
142,9-(5-Deoxypentofuranosyl)-9H-purin-6-amine,CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,C10H13N5O3,251.24
143,,C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,C20H23N7O7,473.4
144,(+-)-5-Hydroxytryptophan,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,C11H12N2O3,220.22
145,"2,3-Dihydroxy-5-oxohexanedioic acid",C(C(C(C(=O)O)O)O)C(=O)C(=O)O,C6H8O7,192.12
